Sample,Proust,GraphST,SpaGCN,STAGATE,BayesSpace,kmeans
2720,0.797,0.6762,0.5825,0.454,0.5962,0.2431
6432,0.4943,0.4738,0.4306,0.2997,0.3976,0.2216
6522,0.5948,0.5618,0.5843,0.4936,0.492,0.2828
8667,0.4763,0.4249,0.2624,0.3283,0.3086,0.2224
