Dataset,PCA,Proust without CSL,Proust
2720,0.6071609951146952,0.6630164442609826,0.7970342382637026
6432,0.3856128079763678,0.43797435172559523,0.4942942676144339
6522,0.5642081696558553,0.5539811704111117,0.5948288847861055
8667,0.20198753676848466,0.37987787160419134,0.4763316647955502
