,Proust,GraphST,SpaGCN,STAGATE
Visium_CKp25_rep1,0.034252174,0.14940302,0.073444702,0.255743504
Visium_CKp25_rep2,0.025383452,0.08407521,0.085224554,0.245608598
Visium_CKp25_rep3,0.01691246,0.11809388,0.089412794,0.210223898
Visium_CKp25_rep4,0.05637919,0.170225441,0.133133307,0.283710033
