,Proust,GraphST,SpaGCN,STAGATE
Visium_CKp25_rep1,0.008401509,0.048232548,0.16912964,0.274814993
Visium_CKp25_rep2,0.000433572,0.032901037,0.217369467,0.130668178
Visium_CKp25_rep3,0.05176292,0.246413946,0.009265653,0.138895661
Visium_CKp25_rep4,0.014847691,0.23308738,0.12313696,0.322249025
