Stage,Time (s),GPU Memory (MB)
CNN Image Processing,21.443549871444702,296.0615234375
GNN Gene Processing,4.496914625167847,261.03466796875
GNN Image Processing,4.384000301361084,132.64111328125
Total,51.93305850028992,NA
