Stage,Time (s),GPU Memory (MB)
CNN Image Processing,8.587915658950806,400.99267578125
GNN Gene Processing,10.995510339736938,481.6357421875
GNN Image Processing,2.309741497039795,260.3935546875
Total,144.00900864601135,NA
