Stage,Time (s),GPU Memory (MB)
CNN Image Processing,39.916075468063354,786.42919921875
GNN Gene Processing,17.154535055160522,532.0244140625
GNN Image Processing,6.007748365402222,311.34423828125
Total,105.00668597221375,NA
