Stage,Time (s),GPU Memory (MB)
CNN Image Processing,46.025378465652466,733.88232421875
GNN Gene Processing,12.819981813430786,485.88525390625
GNN Image Processing,5.439961194992065,279.966796875
Total,199.73508405685425,NA
