Stage,Time (s),GPU Memory (MB)
CNN Image Processing,51.122445821762085,1223.12890625
GNN Gene Processing,13.189477920532227,491.33984375
GNN Image Processing,10.10030484199524,299.09716796875
Total,200.88831100000016,NA
