Stage,Time (s),GPU Memory (MB)
CNN Image Processing,44.137478828430176,1015.6181640625
GNN Gene Processing,11.433424234390259,387.197265625
GNN Image Processing,10.114688873291016,229.0205078125
Total,180.375226020813,NA
