Stage,Time (s),GPU Memory (MB)
CNN Image Processing,32.5847647190094,591.04443359375
GNN Gene Processing,7.572727203369141,367.7548828125
GNN Image Processing,6.2257304191589355,203.1025390625
Total,90.81184363365173,NA
