Stage,Time (s),GPU Memory (MB)
CNN Image Processing,45.808432817459106,502.41357421875
GNN Gene Processing,16.101361751556396,499.19482421875
GNN Image Processing,4.226580619812012,282.05029296875
Total,127.54633665084839,NA
