Stage,Time (s),GPU Memory (MB)
CNN Image Processing,22.455289363861084,296.0615234375
GNN Gene Processing,5.161300182342529,261.03466796875
GNN Image Processing,4.3745081424713135,132.64111328125
Total,55.56043457984924,NA
