Stage,Time (s),GPU Memory (MB)
CNN Image Processing,35.97609281539917,682.0615234375
GNN Gene Processing,9.985144138336182,442.79296875
GNN Image Processing,5.6903300285339355,251.7919921875
Total,105.84095788002014,NA
