Stage,Time (s),GPU Memory (MB)
CNN Image Processing,41.99729657173157,720.4208984375
GNN Gene Processing,10.427162408828735,472.55126953125
GNN Image Processing,5.458449840545654,271.5263671875
Total,80.49433970451355,NA
