Stage,Time (s),GPU Memory (MB)
CNN Image Processing,35.613860845565796,622.19482421875
GNN Gene Processing,7.577144384384155,394.38916015625
GNN Image Processing,5.4426305294036865,220.2666015625
Total,100.20073413848877,NA
