Stage,Time (s),GPU Memory (MB)
CNN Image Processing,19.818938970565796,260.77587890625
GNN Gene Processing,3.7216217517852783,225.01611328125
GNN Image Processing,3.5390663146972656,111.77392578125
Total,47.524895429611206,NA
