Stage,Time (s),GPU Memory (MB)
CNN Image Processing,35.58906936645508,489.26123046875
GNN Gene Processing,10.261907815933228,484.46142578125
GNN Image Processing,3.8371081352233887,271.7294921875
Total,161.06701183319092,NA
