Stage,Time (s),GPU Memory (MB)
CNN Image Processing,26.593932628631592,308.0400390625
GNN Gene Processing,4.610587120056152,267.9951171875
GNN Image Processing,5.825586318969727,136.33349609375
Total,71.75229120254517,NA
