Stage,Time (s),GPU Memory (MB)
CNN Image Processing,43.19740271568298,746.90283203125
GNN Gene Processing,10.636758804321289,495.2783203125
GNN Image Processing,5.473679065704346,287.052734375
Total,95.33109307289124,NA
