Stage,Time (s),GPU Memory (MB)
CNN Image Processing,36.56113362312317,398.8603515625
GNN Gene Processing,11.736488580703735,373.072265625
GNN Image Processing,4.102248668670654,201.30322265625
Total,110.67501449584961,NA
