Stage,Time (s),GPU Memory (MB)
CNN Image Processing,20.06986403465271,276.328125
GNN Gene Processing,4.79690146446228,240.36962890625
GNN Image Processing,3.65980863571167,120.380859375
Total,54.351035356521606,NA
