Stage,Time (s),GPU Memory (MB)
CNN Image Processing,48.15786647796631,1204.3896484375
GNN Gene Processing,9.912422180175781,482.4423828125
GNN Image Processing,9.716012954711914,293.20263671875
Total,191.31538891792297,NA
