Stage,Time (s),GPU Memory (MB)
CNN Image Processing,39.22593832015991,516.66552734375
GNN Gene Processing,13.320420026779175,519.35400390625
GNN Image Processing,4.396856307983398,294.8798828125
Total,99.17790365219116,NA
