Stage,Time (s),GPU Memory (MB)
CNN Image Processing,52.02256155014038,1467.75341796875
GNN Gene Processing,15.827691078186035,493.89208984375
GNN Image Processing,10.485795974731445,309.05517578125
Total,226.09017992019653,NA
