Stage,Time (s),GPU Memory (MB)
CNN Image Processing,27.84451675415039,321.63232421875
GNN Gene Processing,9.056784391403198,286.1650390625
GNN Image Processing,4.007096767425537,147.93115234375
Total,61.747562408447266,NA
