Stage,Time (s),GPU Memory (MB)
CNN Image Processing,19.712669849395752,282.880859375
GNN Gene Processing,4.843897819519043,246.35546875
GNN Image Processing,3.6342756748199463,124.07275390625
Total,51.86198925971985,NA
