Stage,Time (s),GPU Memory (MB)
CNN Image Processing,33.25348711013794,623.96484375
GNN Gene Processing,8.059590816497803,395.99609375
GNN Image Processing,6.197317838668823,220.85400390625
Total,100.38297057151794,NA
