Stage,Time (s),GPU Memory (MB)
CNN Image Processing,50.028711795806885,1223.12890625
GNN Gene Processing,15.398319721221924,491.33984375
GNN Image Processing,9.061225175857544,299.09716796875
Total,213.07315683364868,NA
