Stage,Time (s),GPU Memory (MB)
CNN Image Processing,33.23021101951599,617.822265625
GNN Gene Processing,7.931755304336548,391.4443359375
GNN Image Processing,6.052020788192749,218.39111328125
Total,110.26552104949951,NA
