Stage,Time (s),GPU Memory (MB)
CNN Image Processing,46.71497106552124,978.5068359375
GNN Gene Processing,12.606512069702148,489.1708984375
GNN Image Processing,10.263444185256958,289.97802734375
Total,193.35737466812134,NA
