Stage,Time (s),GPU Memory (MB)
CNN Image Processing,45.36138463020325,520.6005859375
GNN Gene Processing,10.968112230300903,525.189453125
GNN Image Processing,5.215834379196167,298.39111328125
Total,108.91379165649414,NA
